Name,Ticker Data,Ticker
Helix BioPharma Corp-,HBP,HBP.TO
Heroux-Devtek Inc-,HRX,HRX.TO
High Arctic Energy Services Inc-,HWO,HWO.TO
High Liner Foods Incorporated,HLF,HLF.TO
HLS Therapeutics Inc-,HLS,HLS.TO
Horizonte Minerals Plc-,HZM,HZM.TO
Hudbay Minerals Inc-,HBM,HBM.TO
Hut 8 Corp-,HUT,HUT.TO
Hydro One Limited,H,H.TO
Canlan Ice Sports Corp-,ICE,ICE.TO
i-80 Gold Corp-,IAU,IAU.TO
i3 Energy plc,ITE,ITE.TO
iA Financial Corporation Inc-,IAG,IAG.TO
IA Wealth Enhanced Bond Pool,IWEB,IWEB.TO
IAMGOLD Corporation,IMG,IMG.TO
iFabric Corp-,IFA,IFA.TO
IGM Financial Inc-,IGM,IGM.TO
illumin Holdings Inc-,ILLM,ILLM.TO
Imperial Metals Corporation,III,III.TO
Imperial Oil Limited,IMO,IMO.TO
Indigo Books & Music Inc-,IDG,IDG.TO
Industrial Alliance Insurance and Financial Services Inc-,IAF-PR-B,IAG.TO
Information Services Corporation,ISV,ISV.TO
Innergex Renewable Energy Inc-,INE,INE.TO
InPlay Oil Corp-,IPO,IPO.TO
Intact Financial Corporation,IFC,IFC.TO
IntelGenx Technologies Corp-,IGX,IGX.TO
IntelliPharmaCeutics International Inc-,IPCI,IPCI.TO
Interfor Corporation,IFP,IFP.TO
Intermap Technologies Corporation,IMP,IMP.TO
International Petroleum Corporation,IPCO,IPCO.TO
International Tower Hill Mines Ltd-,ITH,ITH.TO
Invesque Inc-,IVQ,IVQ.TO
Ivanhoe Electric Inc-,IE,IE.TO
Ivanhoe Mines Ltd-,IVN,IVN.TO
Purpose Global Bond Class,IGB,IGB.TO
Jaguar Mining Inc-,JAG,JAG.TO
Jamieson Wellness Inc-,JWEL,JWEL.TO
Journey Energy Inc-,JOY,JOY.TO
K-Bro Linen Inc-,KBL,KBL.TO
K92 Mining Inc-,KNT,KNT.TO
Karnalyte Resources Inc-,KRN,KRN.TO
Karora Resources Inc-,KRR,KRR.TO
Kelso Technologies Inc-,KLS,KLS.TO
Kelt Exploration Ltd-,KEL,KEL.TO
Keyera Corp-,KEY,KEY.TO
Kinaxis Inc-,KXS,KXS.TO
Kinross Gold Corporation,K,K.TO
Kits Eyecare Ltd-,KITS,KITS.TO
Kiwetinohk Energy Corp-,KEC,KEC.TO
"kneat-com, inc-",KSI,KSI.TO
Knight Therapeutics Inc-,GUD,GUD.TO
Kolibri Global Energy Inc-,KEI,KEI.TO
KP Tissue Inc-,KPT,KPT.TO
Brompton Lifeco Split Corp-,LCS,LCS.TO
Canadian Life Companies Split Corp-,LFE,LFE.TO
Labrador Iron Ore Royalty Corporation,LIF,LIF.TO
Laramide Resources Ltd-,LAM,LAM.TO
Largo Inc-,LGO,LGO.TO
Lassonde Industries Inc-,LAS-A,LAS-A.TO
Laurentian Bank of Canada,LB,LB.TO
Leon's Furniture Limited,LNF,LNF.TO
Liberty Gold Corp-,LGD,LGD.TO
Life & Banc Split Corp-,LBS,LBS.TO
LifeSpeak Inc,LSPK,LSPK.TO
Lightspeed Commerce Inc-,LSPD,LSPD.TO
Linamar Corporation,LNR,LNR.TO
Lion Electric Company (The),LEV,LEV.TO
Lithium Americas (Argentina) Corp-,LAAC,LAAC.TO
Lithium Americas Corp-,LAC,LAC.TO
Lithium Royalty Corp-,LIRC,LIRC.TO
Loblaw Companies Limited,L,L.TO
Loncor Gold Inc-,LN,LN.TO
Loop Energy Inc-,LPEN,LPEN.TO
Lucara Diamond Corp-,LUC,LUC.TO
Lundin Gold Inc-,LUG,LUG.TO
Lundin Mining Corporation,LUN,LUN.TO
MediPharm Labs Corp-,LABS,LABS.TO
Tidewater Renewables Ltd-,LCFS,LCFS.TO
Excelsior Mining Corp-,MIN,MIN.TO
M Split Corp-,XMF-A,XMF-A.TO
Mackenzie Master Limited Partnership,MKZ-UN,MKZ-UN.TO
Madison Pacific Properties Inc-,MPC,MPC-C.TO
MAG Silver Corp-,MAG,MAG.TO
Magellan Aerospace Corporation,MAL,MAL.TO
Magna International Inc-,MG,MG.TO
Mainstreet Equity Corp-,MEQ,MEQ.TO
Major Drilling Group International Inc-,MDI,MDI.TO
Mandalay Resources Corporation,MND,MND.TO
Manulife Financial Corporation,MFC,MFC.TO
Maple Leaf Foods Inc-,MFI,MFI.TO
Marimaca Copper Corp-,MARI,MARI.TO
Martinrea International Inc-,MRE,MRE.TO
Mattr Corp-,MATR,MATR.TO
Maxim Power Corp-,MXG,MXG.TO
MCAN Mortgage Corporation,MKP,MKP.TO
McCoy Global Inc-,MCB,MCB.TO
McEwen Mining Inc-,MUX,MUX.TO
MDA Ltd-,MDA,MDA.TO
mdf commerce inc-,MDF,MDF.TO
Medexus Pharmaceuticals Inc-,MDP,MDP.TO
