Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020
CJR-B.TO,Corus Entertainment Inc.,Communication Services,1.51124e-09,1.598586e-09,1.543483e-09
CVO.TO,Coveo Solutions Inc.,Technology,1.1200199999999999e-10,8.6488e-11,6.485700000000001e-11
CPG.TO,Crescent Point Energy Corp.,Energy,3.993e-09,2.8294e-09,1.488e-09
CTX.TO,Crescita Therapeutics Inc.,Healthcare,2.3525e-11,1.6769e-11,1.564e-11
CR.TO,Crew Energy Inc.,Energy,6.079020000000001e-10,3.41206e-10,1.39457e-10
CRON.TO,Cronos Group Inc.,Healthcare,9.1904e-11,7.4435e-11,4.6719000000000006e-11
CRWN.TO,Crown Capital Partners Inc.,Financial Services,3.9306e-11,4.1936e-11,3.849900000000001e-11
CURA.TO,"Curaleaf Holdings, Inc.",Healthcare,1.3363420000000002e-09,1.1959900000000001e-09,6.26637e-10
CXI.TO,"Currency Exchange International, Corp.",Financial Services,8.195476899999999e-11,6.749867299999999e-11,3.056566e-11
CYB.TO,Cymbria Corporation,Financial Services,-9.008700000000001e-11,2.92926e-10,-1.7557e-11
DBO.TO,D-BOX Technologies Inc.,Technology,3.4122000000000005e-11,2.1313e-11,1.108e-11
DCM.TO,DATA Communications Management Corp.,Industrials,2.73804e-10,2.35331e-10,2.5931400000000004e-10
DFY.TO,Definity Financial Corporation,Financial Services,3.2476999999999994e-09,2.9178000000000004e-09,2.6963e-09
DN.TO,Delta 9 Cannabis Inc.,Healthcare,6.3228271e-11,6.2291436e-11,5.2047052999999996e-11
DML.TO,Denison Mines Corp.,Energy,1.6945000000000003e-11,2.0000000000000002e-11,1.4423e-11
DNTL.TO,dentalcorp Holdings Ltd.,Healthcare,1.2503e-09,1.0308e-09,6.662e-10
DSG.TO,The Descartes Systems Group Inc.,Technology,4.86014e-10,4.2468999999999996e-10,3.48664e-10
DXT.TO,Dexterra Group Inc.,Industrials,9.71517e-10,7.333799999999999e-10,4.77815e-10
DRT.TO,DIRTT Environmental Solutions Ltd.,Industrials,1.7216099999999999e-10,1.4759299999999998e-10,1.7150699999999998e-10
DSV.TO,Discovery Silver Corp.,Basic Materials,0.0,0.0,0.0
